Mfr Name,Division,Carline,Hybrid ,Cyl,CityFE,HWYFE,CombFE,Transmission,Gears,DriveDesc,AnnualFuelCost,Type,FERating,GHGRating,SmogRating,5YearSpend,TailpipeCO2,Emissions
Honda,Acura,NSX,N,6,21,22,21,Manual,9,All Wheel Drive,2000,Car,4,4,3,3250,420,High
Honda,Acura,ILX,N,4,25,35,29,Manual,8,"2-Wheel Drive, Front",1450,Car,6,6,3,500,309,Low
Honda,Acura,TLX AWD,N,6,21,30,24,Automatic,9,All Wheel Drive,1750,Car,5,5,3,2000,369,Low
Honda,Acura,TLX AWD A-SPEC,N,6,20,29,23,Automatic,9,All Wheel Drive,1850,Car,5,5,3,2500,387,Low
Honda,Acura,TLX FWD,N,4,23,33,27,Manual,8,"2-Wheel Drive, Front",1550,Car,6,6,3,1000,330,Low
Honda,Acura,TLX FWD,N,6,20,32,24,Automatic,9,"2-Wheel Drive, Front",1750,Car,5,5,3,2000,368,Low
Honda,Acura,TLX FWD A-SPEC,N,6,20,30,23,Automatic,9,"2-Wheel Drive, Front",1850,Car,5,5,3,2500,382,Low
Honda,Acura,RLX,N,6,28,29,28,Manual,7,All Wheel Drive,1500,Car,6,6,7,750,316,Low
Honda,Acura,RLX,N,6,20,29,23,Automatic,10,"2-Wheel Drive, Front",1850,Car,5,5,3,2500,383,Low
FCA US LLC,ALFA ROMEO,4C,N,4,24,34,28,Manual,6,"2-Wheel Drive, Rear",1500,Car,6,6,1,750,317,Low
FCA US LLC,ALFA ROMEO,Giulia,N,4,24,33,27,Automatic,8,"2-Wheel Drive, Rear",1550,Car,6,6,3,1000,330,Low
FCA US LLC,ALFA ROMEO,Giulia,N,6,17,24,20,Automatic,8,"2-Wheel Drive, Rear",2100,Car,4,4,3,3750,451,High
FCA US LLC,ALFA ROMEO,Giulia AWD,N,4,23,31,26,Automatic,8,All Wheel Drive,1600,Car,5,5,3,1250,348,Low
aston martin,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",N,12,13,21,16,Automatic,8,"2-Wheel Drive, Rear",2600,Car,2,2,3,6250,555,High
aston martin,Aston Martin Lagonda Ltd,Rapide S,N,12,14,21,17,Automatic,8,"2-Wheel Drive, Rear",2450,Car,3,3,3,5500,533,High
aston martin,Aston Martin Lagonda Ltd,DB11 V12,N,12,15,21,17,Automatic,8,"2-Wheel Drive, Rear",2450,Car,3,3,3,5500,497,High
aston martin,Aston Martin Lagonda Ltd,DB11 V8,N,8,18,24,20,Automatic,8,"2-Wheel Drive, Rear",2100,Car,4,4,3,3750,431,High
Volkswagen Group of,Audi,R8 AWD,N,10,14,22,17,Manual,7,All Wheel Drive,2450,Car,3,3,1,5500,531,High
Volkswagen Group of,Audi,R8 RWD,N,10,14,25,18,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,497,High
Volkswagen Group of,Audi,R8 Spyder AWD,N,10,14,22,17,Manual,7,All Wheel Drive,2450,Car,3,3,1,5500,531,High
Volkswagen Group of,Audi,R8 Spyder RWD,N,10,14,25,18,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,497,High
Volkswagen Group of,Audi,RS7,N,8,14,24,17,Automatic,8,All Wheel Drive,2450,Car,3,3,3,5500,512,High
Volkswagen Group of,Audi,TT Roadster quattro,N,4,23,30,26,Manual,6,All Wheel Drive,1400,Car,5,5,7,250,336,Low
Volkswagen Group of,Audi,A3,N,4,26,35,29,Manual,7,"2-Wheel Drive, Front",1250,Car,6,6,7,500,303,Low
Volkswagen Group of,Audi,A3 Cabriolet,N,4,25,33,28,Manual,7,"2-Wheel Drive, Front",1300,Car,6,6,7,250,315,Low
